ulpin,risk_probability_raw,risk_probability,risk_band,predicted_delay_stage,delay_stage_confidence,model_version
27-037-018-273093,0.70049,0.66667,Medium,Ownership / Title,0.9952,v2026-08-23T20-17-06
22-002-022-420389,0.24663,0.29032,Low,Administrative Approval,0.8236,v2026-08-23T20-17-06
09-044-014-641225,0.92073,0.86792,High,Administrative Approval,0.7769,v2026-08-23T20-17-06
21-005-024-337424,0.04663,0.14286,Low,Legal Dispute,0.82,v2026-08-23T20-17-06
23-004-006-093855,0.00053,0.0,Low,Administrative Approval,0.9687,v2026-08-23T20-17-06
36-027-007-288778,0.00033,0.0,Low,Administrative Approval,0.5299,v2026-08-23T20-17-06
21-026-014-370727,0.84403,0.71795,High,Ownership / Title,0.9817,v2026-08-23T20-17-06
29-009-016-192964,0.98348,1.0,High,Administrative Approval,0.7241,v2026-08-23T20-17-06
36-019-003-705316,0.01011,0.02072,Low,Administrative Approval,0.5886,v2026-08-23T20-17-06
36-003-020-070680,0.00032,0.0,Low,Administrative Approval,0.526,v2026-08-23T20-17-06
22-009-020-203958,0.98066,1.0,High,Legal Dispute,0.7318,v2026-08-23T20-17-06
22-009-002-176327,0.00331,0.0,Low,Administrative Approval,0.6003,v2026-08-23T20-17-06
09-044-016-605257,0.98754,1.0,High,Legal Dispute,0.8422,v2026-08-23T20-17-06
29-018-018-118244,0.28915,0.31305,Low,Legal Dispute,0.9874,v2026-08-23T20-17-06
09-015-015-984880,0.04308,0.14286,Low,Legal Dispute,0.6366,v2026-08-23T20-17-06
22-014-013-719914,0.96469,0.9,High,Ownership / Title,0.9867,v2026-08-23T20-17-06
09-002-018-699715,0.94121,0.86792,High,Rehabilitation (R&R),0.7543,v2026-08-23T20-17-06
33-014-017-005215,0.07538,0.14286,Low,Compensation Disbursal,0.3918,v2026-08-23T20-17-06
09-002-014-978881,0.7875,0.71795,High,Administrative Approval,0.5838,v2026-08-23T20-17-06
29-007-005-512685,0.06877,0.14286,Low,Compensation Disbursal,0.9277,v2026-08-23T20-17-06
21-005-003-657654,0.96866,1.0,High,Legal Dispute,0.6006,v2026-08-23T20-17-06
22-009-007-337564,0.96574,0.9,High,Compensation Disbursal,0.9815,v2026-08-23T20-17-06
21-012-024-149588,0.20131,0.29032,Low,Legal Dispute,0.942,v2026-08-23T20-17-06
29-022-008-374630,0.9313,0.86792,High,Ownership / Title,0.5116,v2026-08-23T20-17-06
29-009-010-716020,0.02795,0.125,Low,Rehabilitation (R&R),0.914,v2026-08-23T20-17-06
09-002-008-247131,0.82176,0.71795,High,Compensation Disbursal,0.5759,v2026-08-23T20-17-06
33-045-019-735619,0.95866,0.88889,High,Compensation Disbursal,0.9087,v2026-08-23T20-17-06
23-028-009-366887,0.25321,0.29032,Low,Ownership / Title,0.3467,v2026-08-23T20-17-06
09-002-024-838219,0.97711,1.0,High,Legal Dispute,0.8814,v2026-08-23T20-17-06
09-015-013-453498,0.98306,1.0,High,Legal Dispute,0.9244,v2026-08-23T20-17-06
21-026-020-567288,0.009,0.0,Low,Compensation Disbursal,0.3549,v2026-08-23T20-17-06
22-002-007-592318,0.58691,0.66667,Medium,Compensation Disbursal,0.8888,v2026-08-23T20-17-06
22-014-005-537148,0.02416,0.06897,Low,Rehabilitation (R&R),0.9405,v2026-08-23T20-17-06
27-001-009-520920,0.73632,0.66667,Medium,Ownership / Title,0.8999,v2026-08-23T20-17-06
27-025-017-599201,0.00084,0.0,Low,Legal Dispute,0.7173,v2026-08-23T20-17-06
36-019-009-063906,0.8775,0.86792,High,Administrative Approval,0.7028,v2026-08-23T20-17-06
33-023-012-850145,0.97055,1.0,High,Compensation Disbursal,0.5791,v2026-08-23T20-17-06
22-009-008-472058,0.00761,0.0,Low,Administrative Approval,0.2936,v2026-08-23T20-17-06
33-045-020-321548,0.81716,0.71795,High,Ownership / Title,0.9348,v2026-08-23T20-17-06
21-019-008-698182,0.00028,0.0,Low,Administrative Approval,0.4029,v2026-08-23T20-17-06
27-013-002-146772,0.91935,0.86792,High,Legal Dispute,0.7916,v2026-08-23T20-17-06
29-018-011-534431,0.7416,0.66667,Medium,Legal Dispute,0.8709,v2026-08-23T20-17-06
21-005-017-021538,0.00909,0.0,Low,Administrative Approval,0.5986,v2026-08-23T20-17-06
27-025-024-358473,0.23119,0.29032,Low,Ownership / Title,0.4431,v2026-08-23T20-17-06
21-005-007-105539,0.0425,0.14286,Low,Legal Dispute,0.5752,v2026-08-23T20-17-06
09-002-005-820092,0.79182,0.71795,High,Rehabilitation (R&R),0.9245,v2026-08-23T20-17-06
22-014-011-799681,0.97046,1.0,High,Legal Dispute,0.9796,v2026-08-23T20-17-06
27-001-002-554599,0.67634,0.66667,Medium,Legal Dispute,0.9911,v2026-08-23T20-17-06
23-016-024-215387,0.14594,0.21622,Low,Administrative Approval,0.5491,v2026-08-23T20-17-06
33-014-021-996444,0.53621,0.4,Low,Legal Dispute,0.5153,v2026-08-23T20-17-06
36-011-021-000186,0.57575,0.4,Low,Legal Dispute,0.9457,v2026-08-23T20-17-06
27-025-006-055986,0.55258,0.4,Low,Compensation Disbursal,0.9732,v2026-08-23T20-17-06
23-033-023-979338,0.9595,0.88889,High,Legal Dispute,0.6279,v2026-08-23T20-17-06
23-028-003-517002,0.83093,0.71795,High,Rehabilitation (R&R),0.665,v2026-08-23T20-17-06
09-002-012-096995,0.66828,0.66667,Medium,Legal Dispute,0.5151,v2026-08-23T20-17-06
22-009-021-927813,0.03681,0.14286,Low,Rehabilitation (R&R),0.9855,v2026-08-23T20-17-06
36-027-022-025842,0.04956,0.14286,Low,Compensation Disbursal,0.4877,v2026-08-23T20-17-06
27-013-023-822545,0.00736,0.0,Low,Administrative Approval,0.9693,v2026-08-23T20-17-06
22-002-009-216421,0.51633,0.4,Low,Legal Dispute,0.6622,v2026-08-23T20-17-06
27-025-012-427552,0.0352,0.14286,Low,Administrative Approval,0.486,v2026-08-23T20-17-06
21-012-016-832029,0.0211,0.06897,Low,Legal Dispute,0.522,v2026-08-23T20-17-06
27-037-005-932752,0.01738,0.06897,Low,Administrative Approval,0.9763,v2026-08-23T20-17-06
21-005-015-592807,0.03149,0.14286,Low,Ownership / Title,0.4587,v2026-08-23T20-17-06
29-022-005-835678,0.88523,0.86792,High,Ownership / Title,0.6113,v2026-08-23T20-17-06
23-033-002-472071,0.98513,1.0,High,Legal Dispute,0.8921,v2026-08-23T20-17-06
21-019-002-373494,0.21432,0.29032,Low,Rehabilitation (R&R),0.7466,v2026-08-23T20-17-06
22-009-014-331358,0.00055,0.0,Low,Administrative Approval,0.6038,v2026-08-23T20-17-06
33-045-007-088086,0.40009,0.35484,Low,Rehabilitation (R&R),0.8552,v2026-08-23T20-17-06
36-019-019-608716,0.90344,0.86792,High,Compensation Disbursal,0.5745,v2026-08-23T20-17-06
